StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_DuplicateRespondent,intro_description,gender,gender_4_TEXT,age,race,hispanic_origin,education,country_origin,region,1_expert_trust,2_expert_trust,3_expert_trust,4_expert_trust,5_expert_trust,6_expert_trust,attention1,1_health_engagement,2_health_engagement,3_health_engagement,4_health_engagement,5_health_engagement,info_source,info_source_8_TEXT,politics,attention2,bio_meat_exp_timer_First Click,bio_meat_exp_timer_Last Click,bio_meat_exp_timer_Page Submit,bio_meat_exp_timer_Click Count,meat_post_timer_First Click,meat_post_timer_Last Click,meat_post_timer_Page Submit,meat_post_timer_Click Count,attention_meat_exp,meat_exp_accurate,meat_exp_authentic,meat_exp_believable,bio_sleep_timer_First Click,bio_sleep_timer_Last Click,bio_sleep_timer_Page Submit,bio_sleep_timer_Click Count,dm1_timer_First Click,dm1_timer_Last Click,dm1_timer_Page Submit,dm1_timer_Click Count,dmy1_slp_accurate,dmy1_slp_authentic,dmy1_slp_believable,bio_water_timer_First Click,bio_water_timer_Last Click,bio_water_timer_Page Submit,bio_water_timer_Click Count,dmy2_timer_First Click,dmy2_timer_Last Click,dmy2_timer_Page Submit,dmy2_timer_Click Count,dmy2_wt_accurate,dmy2_wt_authentic,dmy2_wt_believable,bio_oil_infl_timer_First Click,bio_oil_infl_timer_Last Click,bio_oil_infl_timer_Page Submit,bio_oil_infl_timer_Click Count,post_oil_timer_First Click,post_oil_timer_Last Click,post_oil_timer_Page Submit,post_oil_timer_Click Count,attention_oil_inf,oil_infl_accurate,post_oil_authentic,post_oil_believable,bio_meat_infl_timer_First Click,bio_meat_infl_timer_Last Click,bio_meat_infl_timer_Page Submit,bio_meat_infl_timer_Click Count,post_meat_timer_First Click,post_meat_timer_Last Click,post_meat_timer_Page Submit,post_meat_timer_Click Count,attention_meat_infl,meat_infl_accurate,meat_infl_authentic,meat_infl_believable,bio_oil_exp_timer_First Click,bio_oil_exp_timer_Last Click,bio_oil_exp_timer_Page Submit,bio_oil_exp_timer_Click Count,post_oil_timer_First Click,post_oil_timer_Last Click,post_oil_timer_Page Submit,post_oil_timer_Click Count,attention_oil_exp,oil_exp_accurate,oil_exp_authentic,oil_exp_believable,SC0,Q_RecaptchaStatus,Q_RecaptchaError,Q_DuplicateRespondentStatus,Q_BallotBoxStuffing,transaction_id,post_meat_source,post_oil_source,condition_sequence,order_pattern,TotalScore,complete
2026-04-02 15:05:34,2026-04-02 15:08:53,0,76.17.176.233,100,199,1,2026-04-02 15:08:54,R_6ozkmsHnlx6QrK5,,,,,44.7894,-93.6022,anonymous,EN,1,,4,1,,4,1,2,2,1,1,7,7,7,7,7,7,4,7,7,7,7,7,4,,4,3,,,,,,,,,,,,,0,0,4.437,0,0,0,6.672,0,7,7,7,0,0,6.8,0,0,0,6.975,0,7,7,7,,,,,,,,,,,,,0,0,6.655,0,0,0,11.723,0,3,7,7,7,0,0,6.478,0,0,0,11.364,0,4,7,7,7,2,complete,,,,0NC33BLMWEewPp8ZstCuyT,influencer,expert,influencer_meat_expert_oil,tfft,,1
2026-04-02 15:04:22,2026-04-02 15:09:06,0,45.45.198.61,100,284,1,2026-04-02 15:09:07,R_59buhy1OPeOHm8U,,,,,37.751,-97.822,anonymous,EN,0.8999999761581421,,4,1,,2,1,2,5,1,3,7,7,7,7,7,7,4,7,7,7,7,7,"3,4,6",,1,3,,,,,,,,,,,,,0,0,5.233,0,0,0,7.171,0,7,7,7,0,0,4.677,0,0,0,6.237,0,7,7,7,,,,,,,,,,,,,0,0,9.778,0,0,0,11.924,0,4,7,7,7,0,0,6.78,0,0,0,12.418,0,2,7,7,7,2,complete,,,,0HxGPLwGY9LsrI3mKgt5Kz,influencer,expert,influencer_meat_expert_oil,ftft,,1
2026-04-02 15:04:48,2026-04-02 15:09:10,0,172.58.8.76,100,261,1,2026-04-02 15:09:11,R_6PniOkuVKR5NaCe,,,,,44.9985,-93.3029,anonymous,EN,0.20000000298023224,,4,2,,6,1,2,2,1,1,7,5,7,4,5,7,4,7,7,7,5,6,"1,3,4",,5,3,0,0,11.73,0,0,0,14.351,0,1,7,7,7,0,0,4.961,0,0,0,9.596,0,7,7,7,0,0,5.682,0,0,0,8.298,0,7,7,7,0,0,6.768,0,0,0,19.177,0,1,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,0,complete,,,,0HvgmqrGq7PJkVhddIGTCh,expert,influencer,expert_meat_influencer_oil,tfft,,1
2026-04-02 15:01:41,2026-04-02 15:09:36,0,184.75.154.20,100,474,1,2026-04-02 15:09:37,R_6Ih1UvOYSiBjiKJ,,,,,43.2369,-86.1951,anonymous,EN,0.800000011920929,,4,1,,2,5,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,0.928,0.928,11.161,1,0.752,0.752,34.303,1,2,4,4,4,0,0,5.805,0,0.702,6.199,7.178,2,4,4,4,0.763,0.763,10.75,1,0.465,0.465,47.339,1,4,4,4,0,0,7.083,0,0.414,0.414,56.257,1,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,3,complete,,,,3DDLos4xWuwRZMZ2bad1vP,expert,influencer,expert_meat_influencer_oil,ftft,,1
2026-04-02 15:03:12,2026-04-02 15:09:43,0,63.88.220.103,100,391,1,2026-04-02 15:09:44,R_1zdTghvVj4n23jv,,,,,40.6739,-73.9358,anonymous,EN,1,,4,1,,3,1,2,4,1,2,6,6,7,7,7,7,4,7,7,7,6,7,"1,2,4,6,5",,4,3,0,0,6.753,0,0,0,14.302,0,4,7,7,7,3.004,3.768,4.874,2,0,0,22.793,0,7,7,7,0,0,28.988,0,0,0,15.09,0,7,7,7,0,0,8.17,0,22.274,22.274,30.629,1,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,2,complete,,,,38QWuy3uSciftHhL9TKWTg,expert,influencer,expert_meat_influencer_oil,ftft,,1
2026-04-02 15:10:19,2026-04-02 15:10:29,0,172.59.116.176,100,9,1,2026-04-02 15:10:30,R_5F4AcuhdXJjtg0E,,,,,36.9886,-76.4143,anonymous,EN,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,complete,,,,2PU3faDQIbKxG1Fl3Cr9Rp,,,,,,
2026-04-02 15:05:51,2026-04-02 15:10:35,0,97.227.147.65,100,284,1,2026-04-02 15:10:35,R_6pidewQN8abB8I1,,,,,33.6926,-84.2509,anonymous,EN,0.8999999761581421,,4,1,,3,1,2,4,1,3,5,6,4,6,5,5,4,4,4,4,5,5,2,,5,3,5.935,5.935,6.862,1,0.69,0.69,16.755,1,1,4,4,4,0,0,4.233,0,1.653,1.653,6.583,1,4,3,4,6.481,6.481,9.434,1,9.775,9.775,11.729,1,4,4,4,0,0,14.055,0,12.783,12.783,14.188,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,1,complete,,,,15Z96C1d6504prnPHWX0ch,expert,influencer,expert_meat_influencer_oil,ftft,,1
2026-04-02 15:05:33,2026-04-02 15:10:42,0,73.191.242.170,100,308,1,2026-04-02 15:10:42,R_1M6rxtcmfiB7O60,,,,,42.4327,-83.0396,anonymous,EN,0.800000011920929,,4,2,,6,1,2,2,1,1,4,4,5,5,5,4,4,6,6,5,6,7,"1,3",,6,3,5.624,5.624,6.114,1,3.024,5.339,11.352,2,2,6,6,6,0,0,5.02,0,6.35,8.519,10.845,2,4,5,5,0,0,7.803,0,2.534,5.182,6.723,2,6,6,6,0,0,6.099,0,3.089,4.408,11.199,2,2,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,2,complete,,,,6OSyXZfBAFyAuHdeBHhF0I,expert,influencer,expert_meat_influencer_oil,ftft,,1
2026-04-02 15:05:15,2026-04-02 15:10:49,0,76.211.119.189,100,334,1,2026-04-02 15:10:50,R_6WSUVyQVR1v3tnt,,,,,35.7178,-78.8428,anonymous,EN,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,complete,,,,3ixUHd5FUZgo5cKyyJnkCr,,,,,,
2026-04-02 15:07:51,2026-04-02 15:10:56,0,67.81.0.91,100,185,1,2026-04-02 15:10:57,R_3JJvyPGLHrH2e5E,,,,,40.8681,-73.4094,anonymous,EN,1,,4,1,,6,4,2,3,1,3,4,4,4,2,3,3,5,5,4,5,5,4,3,,4,4,4.49,4.818,6.039,2,0.932,9.354,11.163,6,2,3,3,3,1.368,2.201,9.059,2,0.929,5.598,6.414,6,3,5,2,1.527,3.227,3.873,2,0.515,8.123,9.592,3,3,5,3,2.149,2.149,7.09,1,0.875,10.664,11.565,3,1,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,3,complete,,,,44ARcee27Eceksb22W7kiU,expert,influencer,expert_meat_influencer_oil,tfft,,1
2026-04-02 15:09:13,2026-04-02 15:11:06,0,208.240.31.151,100,112,1,2026-04-02 15:11:06,R_7kAQi0L4FZ1MdO2,,,,,39.0863,-77.1726,anonymous,EN,1,,4,1,,3,1,1,5,111,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,complete,,,,1sNTOCTk8XyinldbLcOWlJ,,,,,,
2026-04-02 15:01:25,2026-04-02 15:11:19,0,47.221.216.108,100,593,1,2026-04-02 15:11:20,R_545V1QlwfT9Jj4t,,,,,30.6411,-97.7511,anonymous,EN,0.800000011920929,,4,2,,3,"1,2,3",2,3,1,1,6,6,5,3,1,6,4,6,6,6,6,6,"2,3",,4,3,,,,,,,,,,,,,0,0,9.9,0,7.73,10.557,31.196,2,5,1,5,0,0,4.65,0,2.812,3.839,7.45,2,5,2,5,,,,,,,,,,,,,0,0,6.569,0,2.93,6.857,20.635,2,1,6,2,5,0,0,5.88,0,2.241,5.722,42.557,2,1,5,2,5,0,complete,,,,1usNhhixFrvkyuu3wqy0kU,influencer,expert,influencer_meat_expert_oil,ftft,,1
2026-04-02 15:05:46,2026-04-02 15:11:32,0,73.71.206.228,100,345,1,2026-04-02 15:11:33,R_6HT75unMMj0YD2C,,,,,38.3467,-121.9519,anonymous,EN,0.699999988079071,,4,1,,3,1,2,5,1,4,7,6,6,5,6,5,4,5,6,6,5,6,"1,2,3",,2,3,,,,,,,,,,,,,0,0,12.751,0,0,0,7.276,0,5,6,7,0,0,4.078,0,0,0,7.781,0,6,5,5,,,,,,,,,,,,,0,0,26.141,0,0,0,16.912,0,4,5,6,6,0,0,7.78,0,0,0,14.023,0,3,7,6,5,2,complete,,,,5ONlJaH3fUkSeJFPqwMM7v,influencer,expert,influencer_meat_expert_oil,tfft,,1
