ResponseId,Finished,Duration (in seconds),Status,SC0,gender,age,race,hispanic_origin,education,country_origin,region,politics,1_expert_trust,2_expert_trust,3_expert_trust,4_expert_trust,5_expert_trust,6_expert_trust,1_health_engagement,2_health_engagement,3_health_engagement,4_health_engagement,5_health_engagement,info_source,attention1,attention2,attention_meat_exp,attention_oil_inf,attention_meat_infl,attention_oil_exp,Q_RecaptchaScore,Q_DuplicateRespondent,complete,meat_exp_accurate,meat_exp_authentic,meat_exp_believable,dmy1_slp_accurate,dmy1_slp_authentic,dmy1_slp_believable,dmy2_wt_accurate,dmy2_wt_authentic,dmy2_wt_believable,oil_infl_accurate,post_oil_authentic,post_oil_believable,meat_infl_accurate,meat_infl_authentic,meat_infl_believable,oil_exp_accurate,oil_exp_authentic,oil_exp_believable,condition_sequence,order_pattern,post_meat_source,post_oil_source,keep_flag,expert_trust_index,health_engagement_index,meat_exp_cred,meat_infl_cred,meat_cred,oil_exp_cred,oil_infl_cred,oil_cred,age_group
R_1n6HZrUoAWkhrFr,1,291,0,2,1,55-64,4,2,2,1,2,2,7,5,7,1,4,7,6,5,7,7,7,6,4,3,,,2,2,0.800000011920929,,1,,,,5,5,5,6,6,7,,,,5,5,5,7,7,7,influencer_meat_expert_oil,tfft,influencer,expert,1,4.8,6.4,,5,5,7,,7,55+
R_5BaPFOC351LvWVj,1,262,0,0,2,25-34,1,2,2,1,2,3,6,6,6,4,3,2,4,4,4,5,5,1,4,3,,,1,1,1,,1,,,,5,5,5,5,4,5,,,,3,3,3,5,5,6,influencer_meat_expert_oil,ftft,influencer,expert,1,5,4.4,,3,3,5.33333333333333,,5.33333333333333,18-34
R_6Wvr6uwCwVc9sw9,1,305,0,2,2,45-54,1,2,3,1,3,6,7,7,7,7,7,7,7,7,7,7,7,"1,2,6",4,3,,,2,2,0.800000011920929,,1,,,,7,7,7,7,7,7,,,,7,7,7,7,7,7,influencer_meat_expert_oil,tfft,influencer,expert,1,7,7,,7,7,7,,7,35-54
R_55GVKqhaLDmGgNh,1,242,0,3,1,Under18,2,2,2,1,3,3,3,3,4,3,5,5,6,5,6,5,4,"2,3,4,6",4,2,,,4,6,0.800000011920929,,1,,,,3,6,4,5,7,6,,,,4,5,5,4,4,2,influencer_meat_expert_oil,tfft,influencer,expert,0,3.6,5.2,,4.66666666666667,4.66666666666667,3.33333333333333,,3.33333333333333,55+
R_6cmTlo71pYgrWhz,1,60,0,0,2,Under18,1,2,5,64,2,,,,,,,,,,,,,,,,,,,,0.600000023841858,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,55+
R_3uLywV4Kd8FePXr,1,314,0,0,1,45-54,1,2,3,1,3,4,6,5,6,5,2,4,2,2,3,5,5,"1,3,8",4,3,1,1,,,1,,1,4,5,5,5,4,5,5,3,5,4,5,6,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,4.8,3.4,4.66666666666667,,4.66666666666667,,5,5,35-54
R_6LPy8SQukzNdAE9,1,168,0,1,1,35-44,1,2,2,1,1,3,6,6,6,6,6,6,6,6,6,5,5,"1,6",4,3,1,3,,,0.800000011920929,,1,5,5,6,7,6,5,5,6,6,5,4,5,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,6,5.6,5.33333333333333,,5.33333333333333,,4.66666666666667,4.66666666666667,35-54
R_6DqgbjyCbJxYxwM,1,443,0,0,1,55-64,1,2,2,1,1,4,5,5,5,6,1,5,2,2,1,4,4,"1,3,8",4,3,1,1,,,0.899999976158142,,1,5,6,5,6,6,6,6,5,6,4,5,4,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,4.4,2.6,5.33333333333333,,5.33333333333333,,4.33333333333333,4.33333333333333,55+
R_5mE2Pucwl3egn7I,1,858,0,0,1,55-64,1,2,6,1,2,4,6,6,7,3,1,5,5,4,3,5,5,"1,5",4,3,1,1,,,0.800000011920929,,1,5,4,5,5,5,4,5,4,3,6,5,6,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,4.6,4.4,4.66666666666667,,4.66666666666667,,5.66666666666667,5.66666666666667,55+
R_1whnBIusojJXmnf,1,223,0,0,1,25-34,1,2,5,1,3,7,6,6,6,6,5,6,6,6,6,6,6,"3,4,6,5",4,3,1,1,,,1,,1,6,7,6,6,5,6,6,5,6,6,5,7,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,5.8,6,6.33333333333333,,6.33333333333333,,6,6,18-34
R_5SleVOImmcO4LMC,1,291,0,0,2,35-44,4,2,4,1,4,4,6,3,6,4,5,3,6,5,6,4,6,6,4,3,,,1,1,0.800000011920929,,1,,,,6,6,7,4,4,3,,,,6,4,7,4,6,6,influencer_meat_expert_oil,ftft,influencer,expert,1,4.8,5.4,,5.66666666666667,5.66666666666667,5.33333333333333,,5.33333333333333,35-54
R_6I1NvXnknuqvD5n,1,238,0,0,2,55-64,1,2,5,1,3,5,6,6,7,5,1,5,6,6,5,6,7,1,4,3,1,1,,,0.899999976158142,,1,4,5,4,6,6,6,6,6,6,3,4,4,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,5,6,4.33333333333333,,4.33333333333333,,3.66666666666667,3.66666666666667,55+
R_3tbT0mdGVZt92By,1,220,0,2,2,Under18,1,2,2,1,2,7,7,7,7,7,2,2,7,7,7,7,6,4,4,7,,,1,6,0.800000011920929,,1,,,,1,1,1,1,1,1,,,,1,1,1,1,1,1,influencer_meat_expert_oil,tfft,influencer,expert,0,6,6.8,,1,1,1,,1,55+
R_36AawCjv8dZd8tz,1,288,0,0,1,35-44,1,2,4,1,1,7,6,5,7,7,6,6,7,6,6,6,7,"1,2,3,4",4,3,,,1,1,0.899999976158142,,1,,,,5,6,6,7,7,7,,,,4,5,5,7,7,7,influencer_meat_expert_oil,tfft,influencer,expert,1,6.2,6.4,,4.66666666666667,4.66666666666667,7,,7,35-54
R_7BIttDEUuQuMf3X,1,239,0,1,1,35-44,1,2,5,1,3,6,5,6,6,6,5,5,5,5,6,6,5,"1,2,3,4,6,5",4,3,,,1,2,0.800000011920929,,1,,,,6,4,6,6,5,6,,,,5,6,6,5,5,6,influencer_meat_expert_oil,tfft,influencer,expert,1,5.6,5.4,,5.66666666666667,5.66666666666667,5.33333333333333,,5.33333333333333,35-54
R_5LODvqWZPBD5fLb,1,219,0,0,2,45-54,1,2,4,1,2,4,6,6,6,3,4,5,6,6,7,6,6,"1,3,6",4,3,,,1,1,1,,1,,,,5,4,5,6,5,6,,,,2,3,1,6,6,6,influencer_meat_expert_oil,ftft,influencer,expert,1,5,6.2,,2,2,6,,6,35-54
R_6S8LOX6dBLIIyho,1,313,0,3,2,35-44,2,2,3,1,3,3,4,5,5,4,4,5,3,5,5,4,5,1,4,4,,,3,3,0.800000011920929,,1,,,,3,4,2,4,3,5,,,,4,4,4,4,5,3,influencer_meat_expert_oil,ftft,influencer,expert,0,4.4,4.4,,4,4,4,,4,35-54
R_7KxOSjQGNdJWEwL,1,255,0,3,2,25-34,1,2,2,1,4,2,6,6,6,6,6,6,6,6,6,6,6,3,4,7,,,5,6,0.800000011920929,,1,,,,1,1,1,1,7,7,,,,1,1,1,2,7,5,influencer_meat_expert_oil,tfft,influencer,expert,0,6,6,,1,1,4.66666666666667,,4.66666666666667,18-34
R_6SBvFMNm817iwpb,1,445,0,2,2,18-24,,2,2,1,1,7,7,7,7,6,7,7,7,6,7,6,7,"1,3,4",4,3,2,4,,,0.800000011920929,,1,7,7,6,7,7,7,7,7,7,7,7,7,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,6.8,6.6,6.66666666666667,,6.66666666666667,,7,7,18-34
R_3Gd3D51n7axiShR,1,344,0,2,2,35-44,1,2,5,1,1,5,4,5,4,4,4,5,5,4,4,4,3,4,4,5,1,4,,,0.899999976158142,,1,4,5,5,5,6,5,5,6,6,6,6,6,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,4.2,4,4.66666666666667,,4.66666666666667,,6,6,35-54
R_5vcTrNWg8uzLhS9,1,279,0,0,2,45-54,4,2,2,1,4,7,5,4,5,3,5,5,5,5,6,5,5,"3,4,8",4,3,1,1,,,0.899999976158142,,1,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,4.4,5.2,7,,7,,7,7,35-54
R_5GCjgtBdC1OpRCp,1,287,0,0,2,35-44,1,1,4,1,3,2,6,6,6,7,7,7,6,5,6,6,6,4,4,3,,,1,1,1,,1,,,,5,5,5,6,7,7,,,,7,7,7,6,6,6,influencer_meat_expert_oil,ftft,influencer,expert,1,6.4,5.8,,7,7,6,,6,35-54
R_5CiTGgKyPG3tVOB,1,232,0,3,2,45-54,1,2,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,4,4,5,5,,,0.899999976158142,,1,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,4,4,4,,4,,4,4,35-54
R_1uMCxaUkgb9TMhX,1,368,0,0,1,55-64,1,2,2,1,3,6,5,4,5,5,1,3,5,7,5,5,5,1,4,3,1,1,,,1,,1,2,1,1,4,4,4,6,6,7,5,5,6,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,4,5.4,1.33333333333333,,1.33333333333333,,5.33333333333333,5.33333333333333,55+
R_37O4SEmlF1LabCs,1,245,0,0,2,18-24,1,2,4,1,3,3,7,7,7,5,4,6,6,6,5,7,6,"1,2,6",4,3,,,1,1,0.800000011920929,,1,,,,5,4,6,7,6,7,,,,4,6,4,7,7,7,influencer_meat_expert_oil,tfft,influencer,expert,1,6,6,,4.66666666666667,4.66666666666667,7,,7,18-34
R_107ae1ksLKvpLrZ,1,342,0,0,1,35-44,1,2,2,1,1,5,6,6,6,3,3,6,6,5,5,6,6,"1,3",4,3,1,1,,,0.800000011920929,,1,5,6,5,6,5,6,5,5,6,4,5,5,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,4.8,5.6,5.33333333333333,,5.33333333333333,,4.66666666666667,4.66666666666667,35-54
R_1Ii5O8hAe2PwUrY,1,256,0,0,2,Under18,1,2,1,1,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,,,1,1,0.800000011920929,,1,,,,4,4,4,4,4,4,,,,4,4,4,4,4,4,influencer_meat_expert_oil,tfft,influencer,expert,1,4,4.2,,4,4,4,,4,55+
R_3FkxDdOGtyY28M1,1,290,0,0,1,25-34,1,1,3,1,3,6,6,5,5,7,1,6,6,5,5,5,5,"1,6",4,3,1,1,,,1,,1,5,4,6,5,5,5,5,3,6,5,4,4,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,4.8,5.2,5,,5,,4.33333333333333,4.33333333333333,18-34
R_581BhIhUU48MjIt,1,442,0,0,2,Under18,5,1,2,1,3,4,6,6,7,3,5,6,7,7,6,7,7,"3,4",4,3,,,1,1,0.899999976158142,,1,,,,4,6,4,1,1,1,,,,7,7,7,7,7,7,influencer_meat_expert_oil,ftft,influencer,expert,1,5.4,6.8,,7,7,7,,7,55+
R_62RuUyI1KbyNBpQ,1,277,0,1,1,25-34,1,2,2,1,4,6,7,6,7,6,2,7,7,6,5,6,5,"2,6",4,3,3,1,,,1,,1,5,5,5,6,6,6,7,6,6,6,5,6,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,5.6,5.8,5,,5,,5.66666666666667,5.66666666666667,18-34
R_5LtHaiNuRy5j644,1,268,0,0,2,25-34,1,2,2,1,1,4,4,5,5,5,6,5,6,5,5,5,6,"1,4",4,3,1,1,,,0.200000002980232,,1,7,4,5,7,7,7,7,7,7,4,6,7,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,5,5.4,5.33333333333333,,5.33333333333333,,5.66666666666667,5.66666666666667,18-34
R_5k3jmOoG5KAwLxn,1,336,0,0,1,55-64,1,2,2,1,1,7,6,6,5,1,1,7,5,6,4,5,6,"1,5",4,3,1,1,,,1,,1,5,5,5,4,4,3,5,5,6,5,5,5,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,3.8,5.2,5,,5,,5,5,55+
R_68rQYPfw5SqsTeh,1,276,0,2,1,Under18,1,2,3,1,3,4,3,4,4,5,4,4,6,5,5,5,5,"1,4,6",4,3,,,5,2,0.800000011920929,,1,,,,6,4,2,6,7,5,,,,4,3,6,6,6,5,influencer_meat_expert_oil,ftft,influencer,expert,1,4,5.2,,4.33333333333333,4.33333333333333,5.66666666666667,,5.66666666666667,55+
R_52lH6FDCiBDMHEZ,1,321,0,3,2,35-44,2,2,3,1,3,4,4,4,4,4,4,6,4,5,4,4,5,4,4,4,4,2,,,0.800000011920929,,1,4,4,4,4,4,4,4,4,4,5,6,5,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,4,4.4,4,,4,,5.33333333333333,5.33333333333333,35-54
R_61TQ6znSCBUq3y5,1,301,0,2,2,35-44,2,2,3,1,3,4,4,4,4,4,4,4,4,4,4,4,4,"1,6",4,3,,,2,3,1,,1,,,,4,4,4,4,4,4,,,,4,4,4,5,4,4,influencer_meat_expert_oil,tfft,influencer,expert,1,4,4,,4,4,4.33333333333333,,4.33333333333333,35-54
R_5WYnggyvH5LNrBE,1,282,0,2,1,35-44,1,2,4,1,3,7,6,7,6,6,2,7,7,7,6,6,6,"1,4",4,3,4,3,,,0.800000011920929,,1,6,7,6,6,6,7,6,6,6,6,6,7,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,5.4,6.4,6.33333333333333,,6.33333333333333,,6.33333333333333,6.33333333333333,35-54
R_5oSGDRp3ljuLct0,1,335,0,0,1,55-64,1,2,3,1,2,5,6,5,6,3,2,6,6,6,6,6,6,"1,3",4,3,,,1,1,1,,1,,,,5,4,3,5,5,5,,,,5,5,5,4,4,4,influencer_meat_expert_oil,ftft,influencer,expert,1,4.4,6,,5,5,4,,4,55+
R_5Z2r9dAzLIU33CF,1,454,0,0,1,55-64,1,2,2,1,2,3,6,5,4,5,3,7,2,4,5,6,6,"1,3",4,3,,,1,1,1,,1,,,,5,5,5,5,5,5,,,,2,2,1,4,5,4,influencer_meat_expert_oil,ftft,influencer,expert,1,4.6,4.6,,1.66666666666667,1.66666666666667,4.33333333333333,,4.33333333333333,55+
R_1iQEJPSENnmKOYZ,1,385,0,3,1,45-54,1,2,1,1,3,6,4,4,5,6,4,3,4,4,1,4,2,5,1,3,,,2,3,0.800000011920929,,1,,,,3,3,3,2,2,2,,,,2,4,4,4,4,6,influencer_meat_expert_oil,tfft,influencer,expert,0,4.6,3,,3.33333333333333,3.33333333333333,4.66666666666667,,4.66666666666667,35-54
R_1izlDB7HCsSTGjE,1,398,0,0,2,55-64,1,2,4,1,3,6,5,5,5,5,4,4,6,7,6,6,6,"1,5",4,3,1,1,,,1,,1,6,6,6,6,6,6,5,5,5,4,4,3,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,4.8,6.2,6,,6,,3.66666666666667,3.66666666666667,55+
R_6ffyzvQogcw2VE2,1,377,0,0,2,55-64,1,2,1,1,4,4,3,5,5,5,1,4,4,5,3,3,3,1,4,3,,,1,1,0.899999976158142,,1,,,,4,4,4,7,7,7,,,,1,1,1,4,4,4,influencer_meat_expert_oil,ftft,influencer,expert,1,3.8,3.6,,1,1,4,,4,55+
R_6YYsuE0GB3rlCqO,1,444,0,0,2,45-54,1,2,3,1,3,4,4,4,4,5,7,7,6,4,4,4,5,"2,3,6",4,3,,,1,1,0.5,,1,,,,7,7,7,4,4,4,,,,1,1,1,3,3,3,influencer_meat_expert_oil,tfft,influencer,expert,1,4.8,4.6,,1,1,3,,3,35-54
R_3yuw9PFBp2RMQil,1,368,0,0,2,55-64,1,2,3,1,2,2,5,6,6,4,6,4,5,5,5,5,5,6,4,3,1,1,,,0.800000011920929,,1,4,1,1,1,1,1,5,5,5,5,4,5,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,5.4,5,2,,2,,4.66666666666667,4.66666666666667,55+
R_5kRHmyXqrrYjyZU,1,428,0,0,2,Under18,2,2,2,1,1,4,4,4,4,4,4,6,5,6,4,4,5,"1,2,6",4,3,1,1,,,0.899999976158142,,1,6,5,5,5,4,4,7,6,6,4,5,4,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,4,4.8,5.33333333333333,,5.33333333333333,,4.33333333333333,4.33333333333333,55+
