ResponseId,Finished,Duration (in seconds),Status,SC0,gender,age,race,hispanic_origin,education,country_origin,region,politics,1_expert_trust,2_expert_trust,3_expert_trust,4_expert_trust,5_expert_trust,6_expert_trust,1_health_engagement,2_health_engagement,3_health_engagement,4_health_engagement,5_health_engagement,info_source,attention1,attention2,attention_meat_exp,attention_oil_inf,attention_meat_infl,attention_oil_exp,Q_RecaptchaScore,Q_DuplicateRespondent,complete,meat_exp_accurate,meat_exp_authentic,meat_exp_believable,dmy1_slp_accurate,dmy1_slp_authentic,dmy1_slp_believable,dmy2_wt_accurate,dmy2_wt_authentic,dmy2_wt_believable,oil_infl_accurate,oil_infl_authentic,oil_infl_believable,meat_infl_accurate,meat_infl_authentic,meat_infl_believable,oil_exp_accurate,oil_exp_authentic,oil_exp_believable,condition_sequence,order_pattern,post_meat_source,post_oil_source,keep_flag,expert_trust_index,health_engagement_index,meat_exp_cred,meat_infl_cred,meat_cred,oil_exp_cred,oil_infl_cred,oil_cred,age_group
R_1qgg3fr0Yx72Q12,1,349,0,3,1,35-44,1,2,2,1,1,1,5,5,6,5,6,7,5,5,5,3,5,3,4,6,4,4,,,0.800000012,,1,6,7,4,7,6,7,5,4,6,6,4,7,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,5.4,4.6,5.66666666666667,,5.66666666666667,,5.66666666666667,5.66666666666667,35-54
R_7nITvhE5wmJdMrv,1,392,0,0,2,45-54,1,2,3,1,3,5,6,5,7,2,3,4,5,5,5,6,5,"1,6,5",4,3,1,1,,,0.899999976158142,,1,5,5,5,5,4,4,7,7,7,4,4,4,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,4.6,5.2,5,,5,,4,4,35-54
R_1GQEhkHrszjJ43y,1,483,0,0,1,45-54,1,2,4,1,3,6,6,6,7,1,1,7,1,4,1,6,6,1,4,3,1,1,,,1,,1,1,1,1,7,7,7,7,7,7,1,1,1,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,4.2,3.6,1,,1,,1,1,35-54
R_6HEUeFHlfYTqlsl,1,391,0,0,2,35-44,1,2,1,1,2,4,4,6,5,4,4,5,6,4,4,5,6,1,4,3,,,1,1,0.899999976158142,,1,,,,4,4,4,5,5,5,,,,5,5,5,5,5,5,influencer_meat_expert_oil,tfft,influencer,expert,1,4.6,5,,5,5,5,,5,35-54
R_7poCMkSzEjiwKr0,1,323,0,0,2,Under18,1,1,4,1,3,1,7,5,7,3,3,5,6,7,7,6,5,"1,2,3,4",4,3,1,1,,,1,,1,3,5,2,6,5,5,4,5,4,5,5,6,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,5,6.2,3.33333333333333,,3.33333333333333,,5.33333333333333,5.33333333333333,55+
R_3LhG3grQlxGHBbC,1,643,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.699999988,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,55+
R_6Mn8AdcxEEDzN7Y,1,504,0,0,2,18-24,1,2,4,1,1,4,6,7,7,7,1,6,7,7,7,7,7,"1,2,6",4,3,,,1,1,0.800000012,,1,,,,6,6,6,7,7,7,,,,6,6,7,4,4,4,influencer_meat_expert_oil,ftft,influencer,expert,1,5.6,7,,6.33333333333333,6.33333333333333,4,,4,18-34
R_7FL3nxg5VpBEU1M,1,461,0,0,2,45-54,1,2,2,1,3,2,5,5,5,5,1,5,4,2,4,5,5,"1,3",4,3,,,1,1,0.899999976158142,,1,,,,4,5,5,4,4,5,,,,4,4,4,4,4,5,influencer_meat_expert_oil,tfft,influencer,expert,1,4.2,4,,4,4,4.33333333333333,,4.33333333333333,35-54
R_3V9oWOI4XNmBzAs,1,780,0,1,2,55-64,1,2,3,1,1,7,6,6,6,6,6,5,5,5,5,6,6,6,4,3,5,1,,,1,,1,4,4,4,5,5,5,5,5,6,4,4,4,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,6,5.4,4,,4,,4,4,55+
R_37q8ny0lYOtibwu,1,785,0,2,1,45-54,1,2,5,1,3,7,4,7,4,5,1,6,7,7,1,7,7,1,4,3,4,2,,,1,,1,4,4,4,1,1,1,1,1,1,1,1,1,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,4.2,5.8,4,,4,,1,1,35-54
R_7mt36csOqQXUjkr,1,589,0,1,2,18-24,1,2,2,1,3,4,4,4,4,4,3,4,6,6,6,6,6,1,4,3,,,5,,0.699999988,,0,,,,,,,,,,,,,4,4,4,,,,influencer_meat_expert_oil,tfft,influencer,expert,0,3.8,6,,4,4,,,,18-34
R_5qr65w4afQMiPgK,1,898,0,1,1,55-64,1,2,4,1,3,6,7,6,6,5,1,5,6,5,3,6,5,"1,3,4",4,3,,,1,6,1,,1,,,,6,7,6,7,7,7,,,,7,7,7,4,7,5,influencer_meat_expert_oil,tfft,influencer,expert,1,5,5,,7,7,5.33333333333333,,5.33333333333333,55+
R_7PbH8eFHGk3GJHc,1,889,0,0,2,55-64,1,2,3,1,1,4,5,6,6,7,4,7,7,7,6,5,6,"1,5,8",4,3,1,1,,,1,,1,6,5,5,4,4,3,5,5,4,4,4,4,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,1,5.6,6.2,5.33333333333333,,5.33333333333333,,4,4,55+
R_5xLFHuf5MbDKuhD,1,983,0,2,2,35-44,2,2,3,1,2,5,6,5,7,5,3,5,6,2,3,4,5,2,4,5,,,2,1,0.899999976158142,,1,,,,4,3,2,3,5,5,,,,5,3,5,5,5,3,influencer_meat_expert_oil,ftft,influencer,expert,0,5.2,4,,4.33333333333333,4.33333333333333,4.33333333333333,,4.33333333333333,35-54
R_70HiynWzO6yM3MD,1,1085,0,0,1,25-34,1,1,4,1,2,6,1,1,1,1,1,1,1,1,2,1,1,"2,3,4,5",4,3,,,,,0.600000023841858,,0,,,,,,,,,,,,,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,1,1.2,,,,,,,18-34
R_3rBgLV42i8xFjHo,1,875,0,0,1,55-64,1,2,4,1,3,6,3,3,5,3,2,6,6,6,5,6,6,"1,3",4,3,,,1,1,0.800000012,,1,,,,6,6,5,5,4,5,,,,5,5,5,4,4,4,influencer_meat_expert_oil,tfft,influencer,expert,1,3.2,5.8,,5,5,4,,4,55+
R_55tZgFCoxyeU4Xn,1,903,0,0,2,35-44,2,2,4,1,2,4,5,5,5,5,5,6,7,7,7,6,7,"2,6,8",4,3,,,1,1,0.800000012,,0,,,,4,4,4,6,5,5,,,,7,7,7,4,4,4,influencer_meat_expert_oil,ftft,influencer,expert,0,5,6.8,,7,7,4,,4,35-54
R_60SELxUPhJMZlq5,1,1159,0,0,2,55-64,,2,3,1,4,,,,,,,,,,,,,,,,,,,,0.800000012,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,55+
R_7U44tb1zDhcDwXF,1,1242,0,2,2,35-44,1,2,2,1,3,7,4,6,5,5,3,4,4,5,5,6,5,1,4,3,,,5,2,0.699999988,,0,,,,5,5,5,5,5,5,,,,5,4,4,5,5,6,influencer_meat_expert_oil,tfft,influencer,expert,0,4.6,5,,4.33333333333333,4.33333333333333,5.33333333333333,,5.33333333333333,35-54
R_5Ce6G38jkV18zlb,1,1370,0,0,2,45-54,1,1,2,1,4,3,1,5,1,5,1,4,5,1,2,1,4,"1,3",4,3,1,1,,,0.899999976158142,,1,4,5,7,5,5,5,3,5,5,4,4,4,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,1,2.6,2.6,5.33333333333333,,5.33333333333333,,4,4,35-54
R_3DwKMjB5pnk7ueN,1,51,0,0,2,45-54,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,35-54
R_3qfqOps6Sw4C1iL,1,29,0,0,2,25-34,,2,2,1,2,,,,,,,,,,,,,,,,,,,,0.800000012,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,18-34
R_1Pjzqi96p6n2uOt,1,78,0,0,2,45-54,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,0.699999988,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,35-54
R_3B5MoDgXZAs0qjk,1,33,0,0,1,35-44,1,2,3,1,2,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,35-54
R_1oDZqnbQDV1zSBH,1,176,0,0,2,Under18,4,2,4,1,1,4,7,5,5,5,5,7,7,7,4,5,4,"1,3,6",4,3,,,1,1,0.800000012,,1,,,,4,7,4,5,7,7,,,,4,6,5,5,5,4,influencer_meat_expert_oil,ftft,influencer,expert,1,5.4,5.4,,5,5,4.66666666666667,,4.66666666666667,55+
R_7Y1l6jtbEOVaCPv,1,361,0,1,2,25-34,2,2,2,1,3,4,7,6,7,7,4,7,6,6,5,7,7,"1,2,4",4,3,2,1,,,0.899999976158142,,1,7,7,7,7,7,7,7,6,7,7,6,7,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,6.2,6.2,7,,7,,6.66666666666667,6.66666666666667,18-34
R_6hmgGjSkggB0CzL,1,34,0,0,2,35-44,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,35-54
R_72XcNR5DuIiXTUJ,1,50,0,0,2,25-34,1,2,6,1,2,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,18-34
R_6TXYmYbRiZS9RoA,1,79,0,0,2,45-54,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,35-54
R_7gUtLdrIyQUqoav,1,51,0,0,2,Under18,1,2,3,1,2,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,55+
R_65XA6q0VTZqE3G8,1,3928,0,0,2,18-24,1,2,4,1,4,,,,7,6,,6,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,6.5,,,,,,,,18-34
R_1P6Yy0PDowtj6s3,1,44,0,0,1,Under18,2,2,3,1,4,,,,,,,,,,,,,,,,,,,,0.400000005960465,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,55+
R_7jOi2a7MEEV1KQd,1,23,0,0,2,35-44,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,35-54
R_7piiuGMbMnKy0RQ,1,468,0,0,1,55-64,1,2,6,1,4,2,5,5,6,4,1,4,3,3,3,5,4,"1,2",4,3,,,1,1,1,,1,,,,5,5,6,5,5,4,,,,4,4,4,4,4,4,influencer_meat_expert_oil,tfft,influencer,expert,1,4.2,3.6,,4,4,4,,4,55+
R_6FIqEIVFmiY6z0O,1,373,0,2,1,25-34,1,2,5,1,4,6,7,7,7,5,1,7,5,6,5,6,7,1,4,3,,,4,4,1,,1,,,,7,7,7,7,7,7,,,,7,7,7,7,7,7,influencer_meat_expert_oil,ftft,influencer,expert,1,5.4,5.8,,7,7,7,,7,18-34
R_5q82BIxrEPk2COr,1,631,0,0,2,45-54,1,2,3,1,1,2,6,6,6,5,4,6,6,4,2,5,5,"1,2",4,3,,,,,0.899999976158142,,0,,,,5,6,6,,,,,,,,,,,,,expert_meat_influencer_oil,ftft,expert,influencer,0,5.4,4.4,,,,,,,35-54
R_38PTYhtWrJSk6DD,1,1705,0,0,1,25-34,1,2,5,1,4,4,7,7,7,5,7,5,6,6,5,6,6,"1,3,4,6,5",4,3,1,,,,1,,0,6,6,7,6,6,6,,,,,,,,,,,,,expert_meat_influencer_oil,tfft,expert,influencer,0,6.6,5.8,6.33333333333333,,6.33333333333333,,,,18-34
R_5CHjFrf2GVwbDqT,1,60,0,0,2,25-34,2,2,3,1,1,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,18-34
R_7DYKClCRvOYiNAN,1,58,0,0,2,25-34,2,2,3,1,2,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,18-34
R_16fBFiZPOG0nPBr,1,30,0,0,2,35-44,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,35-54
R_7pt0PwSkdY0suWd,1,33,0,0,1,25-34,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,18-34
R_68MShuDHS7XTM3W,1,56,0,0,1,45-54,2,2,3,1,2,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,35-54
R_3iX2bbCjuPTTcJz,1,97,0,0,2,Under18,5,1,3,186,1,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,55+
R_1wH3Ve8ofUYPU3f,1,45,0,0,1,25-34,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,0.100000001490116,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,18-34
R_7nW75VtG6jV53B7,1,32,0,0,2,45-54,5,2,2,1,2,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,35-54
R_5LOTO9qqMVQyl4u,1,35,0,0,1,25-34,4,2,2,1,1,,,,,,,,,,,,,,,,,,,,0.699999988,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,18-34
R_6fjkxSPhTSsfX53,1,56,0,0,1,35-44,1,2,2,1,3,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,35-54
R_1sbFVXa22J7ppf4,1,51,0,0,2,25-34,1,2,3,1,2,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,18-34
R_1TMpTuBdvQJ8YxP,1,124,0,0,1,Under18,1,2,4,1,2,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,55+
R_3ebDNgog0OCuixZ,1,87,0,0,2,Under18,4,2,2,1,3,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,55+
R_6NsmWykLsuhpJIJ,1,39,0,0,2,25-34,1,2,3,1,4,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,18-34
R_58UMmjfXlqfVBir,1,26,0,0,2,35-44,1,2,4,1,1,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,35-54
R_746PFoqlDr8XJ8A,1,38,0,0,1,25-34,1,2,5,1,1,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,18-34
R_1Bb1fkiWApaFepj,1,24,0,0,2,18-24,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,0.800000012,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,18-34
R_7QcGlLqSihWPwaK,1,53,0,0,2,45-54,1,2,4,1,3,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,35-54
R_6nHNhnLdCCEG60j,1,28,0,0,1,25-34,1,2,5,1,3,,,,,,,,,,,,,,,,,,,,0.899999976158142,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,18-34
R_1JUVsQBgizUx6ij,1,28,0,0,2,55-64,1,2,4,1,4,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,55+
R_6zAWHGpIt8bTTQE,1,38,0,0,2,55-64,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,55+
R_7jPNI5cMNw4OPxz,1,120,0,0,2,55-64,1,2,3,1,3,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,55+
