Stock1,Stock2,Correlation
BIDU,GOOGL,-0.8267618332107247
BIDU,ISRG,-0.8147770572005478
BIDU,MRNA,-0.8356562849589468
BIDU,MSFT,-0.8102372787881413
BIDU,PEP,-0.8529331853316284
BIDU,REGN,-0.8306837671146525
BIDU,TEAM,-0.8050642524598675
CDNS,INCY,-0.8280177637054987
CDNS,KHC,-0.9557998297679892
CDNS,PCAR,-0.884615950699814
CDW,INCY,-0.8689639200657954
CDW,KHC,-0.9119362687729142
CDW,NTES,-0.8528612998653771
CDW,PCAR,-0.8672919942945548
CHKP,TCOM,-0.800541654848031
CHTR,INCY,-0.8067514517374645
CHTR,KHC,-0.9102798555588659
CHTR,NTES,-0.8164503572232852
CHTR,PCAR,-0.8749036298566435
CMCSA,KHC,-0.8111876216062109
COST,INCY,-0.8972541699292204
COST,INTC,-0.8128261046910678
COST,KHC,-0.9401053007755256
COST,NTES,-0.8430360245015233
COST,PCAR,-0.9071831064468222
COST,PDD,-0.8510414121421409
COST,TCOM,-0.8328772401869273
CPRT,FOX,-0.8705441197679934
CPRT,KHC,-0.8917845254437995
CPRT,PCAR,-0.8648057643486776
CPRT,PDD,-0.8223092604170085
CPRT,TCOM,-0.8773656284612378
CPRT,WBA,-0.8697588735422936
CRWD,DLTR,-0.8233889509315878
CRWD,KHC,-0.8191395846276025
CSCO,KHC,-0.8028679238033323
CTAS,FOX,-0.8050466663118931
CTAS,KHC,-0.9204768443440605
CTAS,PCAR,-0.8566798141449994
CTAS,TCOM,-0.8474808109425692
CTAS,WBA,-0.8190294391570573
DLTR,NVDA,-0.8155951157928035
DOCU,KHC,-0.8638005350286342
DOCU,PCAR,-0.8063184476215871
DOCU,TCOM,-0.8163312686101263
DOCU,WBA,-0.8220296911238286
DXCM,FOX,-0.8160639803394003
DXCM,KHC,-0.9621375146463579
DXCM,PCAR,-0.918387425756562
DXCM,TCOM,-0.8224124857586428
EBAY,KHC,-0.8410321113996326
EXC,INCY,-0.8104594140882184
FAST,INCY,-0.8009612408193781
FB,KHC,-0.895526499918519
FB,PCAR,-0.8377800511553282
FOX,IDXX,-0.8734205634776592
FOX,INTU,-0.8250885495105803
FOX,ISRG,-0.8032234722073385
FOX,LULU,-0.8429950663246946
FOX,MRNA,-0.8251976072965636
FOX,MSFT,-0.8210042696260321
FOX,ORLY,-0.8175349236153667
FOX,PAYX,-0.8493836120296249
FOX,PEP,-0.8613748410655371
GILD,MU,-0.8263272964292857
GOOG,KHC,-0.9410653315469373
GOOG,PCAR,-0.8807503474532855
GOOG,TCOM,-0.8056538088879166
GOOGL,INCY,-0.8291614795203726
GOOGL,KHC,-0.9407621641038302
GOOGL,PCAR,-0.89987029574959
GOOGL,PDD,-0.8075177093747831
GOOGL,TCOM,-0.8081039806253735
IDXX,KHC,-0.9124926745560432
IDXX,PCAR,-0.8756940856352248
IDXX,PDD,-0.8185452429028115
IDXX,TCOM,-0.8752907936602438
IDXX,WBA,-0.8778630492071168
ILMN,PCAR,-0.8042493765228725
ILMN,TCOM,-0.8364833764826751
INCY,ISRG,-0.8136598527251088
INCY,MELI,-0.8176075526972915
INCY,MRNA,-0.8765309743797348
INCY,PEP,-0.8548022615251846
INCY,REGN,-0.8046123112862903
INCY,TEAM,-0.8130626410949386
INCY,VRSK,-0.8624368557856252
INTU,KHC,-0.9254006784477135
INTU,PCAR,-0.883512120688391
INTU,TCOM,-0.8095191959914441
ISRG,KHC,-0.9789934936353439
ISRG,PCAR,-0.923870310416446
ISRG,PDD,-0.8295179920242
ISRG,TCOM,-0.8390106524810559
KHC,LULU,-0.9410371543526833
KHC,MELI,-0.9333022638690617
KHC,MRNA,-0.9209015327750767
KHC,MRVL,-0.9015469466611737
KHC,MSFT,-0.9681008874222893
KHC,NVDA,-0.8872154242797378
KHC,ORLY,-0.8333857360879426
KHC,PAYX,-0.905670291778476
KHC,PEP,-0.8388733588525116
KHC,QCOM,-0.8484978448706756
KHC,REGN,-0.9468168776226509
KHC,SNPS,-0.9222935874881525
KHC,SPLK,-0.9393239554904053
KHC,TEAM,-0.9373997718804982
KHC,TSLA,-0.8677325543732134
KHC,VRSK,-0.8867928058386334
KHC,XLNX,-0.9070112180631503
LULU,PCAR,-0.9160904399057347
LULU,PDD,-0.8537992144096269
LULU,TCOM,-0.9080135686673378
LULU,WBA,-0.8277723039450342
MELI,PCAR,-0.8782404135096564
MRNA,NTES,-0.8161518053906734
MRNA,PCAR,-0.916216118704667
MRNA,PDD,-0.8535984622104585
MRNA,TCOM,-0.8762389924161095
MRVL,PCAR,-0.8641860201377312
MSFT,PCAR,-0.9063388890827282
MSFT,PDD,-0.8404436923162416
MSFT,TCOM,-0.8540244836104974
MU,REGN,-0.8165584929402181
NTES,TEAM,-0.8084118893619804
ORLY,PDD,-0.8545858435208673
ORLY,TCOM,-0.9072472704905835
ORLY,WBA,-0.875477359191556
PAYX,PCAR,-0.9018419849491983
PAYX,PDD,-0.8879558883949197
PAYX,TCOM,-0.9287871643488372
PAYX,WBA,-0.8250138890598037
PCAR,PEP,-0.8271702607310535
PCAR,QCOM,-0.8468691496059185
PCAR,REGN,-0.8681141433377615
PCAR,SNPS,-0.8337790369489232
PCAR,SPLK,-0.8615278899388639
PCAR,TEAM,-0.8998277602811227
PCAR,XLNX,-0.8680287369743976
PDD,PEP,-0.8919443975290936
PEP,TCOM,-0.8787784228912994
QCOM,TCOM,-0.8388865811506784
SWKS,WBA,-0.8497039908421262
